rpo_group,application_create_week,phone_interview,onsite_interview,offer_extended,offer_accepted,current_outcome,application_closed_week,N
India SWE Recruiting,6/18/2023,,,5,5,IN_PROGRESS,5,2
Cloud Americas Recruiting,6/11/2023,,4,,,IN_PROGRESS,0,1
India SWE Recruiting,7/3/2022,5,,,,IN_PROGRESS,53,1
APAC Intern Recruiting,7/9/2023,,,,,IN_PROGRESS,1,1
EMEA Intern Recruiting,2/12/2023,9,,11,11,IN_PROGRESS,11,1
EMEA Intern Recruiting,3/5/2023,10,8,19,21,IN_PROGRESS,21,1
EMEA Intern Recruiting,3/19/2023,7,10,20,20,IN_PROGRESS,20,1
EMEA Intern Recruiting,4/9/2023,5,,6,6,IN_PROGRESS,6,1
GBO Recruiting,8/20/2023,,,0,0,IN_PROGRESS,0,1
RSR EMEA SWE S09 Recruiting,5/14/2023,6,15,,,IN_PROGRESS,10,1
Cloud Americas Recruiting,5/21/2023,,,,,IN_PROGRESS,3,1
Cloud Americas Recruiting,7/16/2023,,1,5,5,IN_PROGRESS,5,1
GBO Recruiting,4/16/2023,2,,,,IN_PROGRESS,0,1
RSR EMEA GBO Recruiting,8/6/2023,,,,,IN_PROGRESS,0,1
EMEA Intern Recruiting,4/9/2023,11,12,16,17,IN_PROGRESS,17,1
India SWE Recruiting,7/3/2022,4,6,,,IN_PROGRESS,32,1
Cloud Americas Recruiting,7/9/2023,,,1,1,IN_PROGRESS,1,1
RSR EMEA SWE S09 Recruiting,5/21/2023,10,15,,,IN_PROGRESS,10,1
EMEA Cloud Tech Recruiting,7/16/2023,,1,3,4,IN_PROGRESS,4,1
EMEA Intern Recruiting,1/22/2023,11,,15,17,IN_PROGRESS,17,1
EMEA Cloud Tech Recruiting,7/9/2023,,1,4,4,IN_PROGRESS,4,1
EMEA Intern Recruiting,3/26/2023,8,10,16,18,IN_PROGRESS,18,1
GBO Recruiting,4/9/2023,3,4,6,7,IN_PROGRESS,7,1
India SWE Recruiting,5/15/2022,9,10,,,IN_PROGRESS,39,1
