,rpo_group,application_create_week,phone_interview,onsite_interview,offer_extended,offer_accepted,current_outcome,application_closed_week,N,n_weeks,candidate_pid
188,India SWE Recruiting,2022-01-23,22.0,27.0,,,IN_PROGRESS,60,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60]",9a98d612a26a5c19
199,India SWE Recruiting,2022-05-29,6.0,10.0,,,IN_PROGRESS,59,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59]",3c968c5d20888ecd
200,India SWE Recruiting,2023-06-25,11.0,,,,IN_PROGRESS,0,1,[0],440376411e6b89c3
201,India SWE Recruiting,2022-04-10,,13.0,,,IN_PROGRESS,44,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44]",50e5d1f14b79e92c
202,India SWE Recruiting,2023-04-02,23.0,,,,IN_PROGRESS,6,1,[0 1 2 3 4 5 6],c267d125cd78e1d0
203,India SWE Recruiting,2023-03-26,17.0,,,,IN_PROGRESS,7,1,[0 1 2 3 4 5 6 7],fc6baa377d19a8ce
205,India SWE Recruiting,2023-06-25,,,,,IN_PROGRESS,0,1,[0],4b49286d69583d7f
207,India SWE Recruiting,2022-07-03,22.0,,,,IN_PROGRESS,13,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13],15baa87e8c806a10
208,India SWE Recruiting,2023-07-02,7.0,,,,IN_PROGRESS,7,1,[0 1 2 3 4 5 6 7],b99f7eea0f06ecf6
210,India SWE Recruiting,2023-04-30,8.0,18.0,,,IN_PROGRESS,13,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13],e0ab45097e23b18a
211,India SWE Recruiting,2023-05-28,8.0,,,,IN_PROGRESS,8,1,[0 1 2 3 4 5 6 7 8],1e45772a95aaf3db
212,India SWE Recruiting,2022-02-13,9.0,24.0,77.0,77.0,IN_PROGRESS,77,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71
 72 73 74 75 76 77]",c19ba2856e9c3725
213,India SWE Recruiting,2023-07-23,,,4.0,4.0,IN_PROGRESS,4,2,[0 1 2 3 4],e1643e43fef47e67
214,India SWE Recruiting,2023-07-23,,,4.0,4.0,IN_PROGRESS,4,2,[0 1 2 3 4],b7b4ed22b107203f
216,India SWE Recruiting,2023-06-18,,,4.0,5.0,IN_PROGRESS,5,1,[0 1 2 3 4 5],896ac792e08fda0b
217,India SWE Recruiting,2023-07-02,10.0,,,,IN_PROGRESS,4,1,[0 1 2 3 4],411469a5704edce1
218,India SWE Recruiting,2023-07-09,5.0,,,,IN_PROGRESS,2,1,[0 1 2],984092e998091649
221,India SWE Recruiting,2021-08-08,44.0,47.0,102.0,103.0,IN_PROGRESS,103,1,"[  0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17
  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35
  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53
  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71
  72  73  74  75  76  77  78  79  80  81  82  83  84  85  86  87  88  89
  90  91  92  93  94  95  96  97  98  99 100 101 102 103]",2a7e35e459ca7982
227,India SWE Recruiting,2023-07-09,7.0,,,,IN_PROGRESS,1,1,[0 1],fd7d151a3217bb61
228,India SWE Recruiting,2022-01-30,6.0,15.0,,,IN_PROGRESS,71,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71]",f0d5b093080b75d8
232,India SWE Recruiting,2023-07-09,,4.0,5.0,6.0,IN_PROGRESS,6,1,[0 1 2 3 4 5 6],d32473a8327bb4a1
233,India SWE Recruiting,2023-01-01,4.0,11.0,29.0,29.0,IN_PROGRESS,29,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29]",94c8cbdf3cb0ba54
241,India SWE Recruiting,2023-01-01,4.0,9.0,,,IN_PROGRESS,6,1,[0 1 2 3 4 5 6],d530bc96d8f4c554
242,India SWE Recruiting,2022-10-23,,2.0,39.0,40.0,IN_PROGRESS,40,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40]",9e058f794563c707
243,India SWE Recruiting,2022-06-12,8.0,,,,IN_PROGRESS,18,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],d0e23c17139285de
246,India SWE Recruiting,2023-04-16,10.0,18.0,,,IN_PROGRESS,3,1,[0 1 2 3],752c021f39bd365a
247,India SWE Recruiting,2023-07-23,3.0,,,,IN_PROGRESS,1,1,[0 1],04a6dafab0b70c21
248,India SWE Recruiting,2022-05-15,4.0,9.0,,,IN_PROGRESS,52,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52]",0dbfaee799072202
249,India SWE Recruiting,2023-04-23,21.0,,,,IN_PROGRESS,14,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14],cd4a113cd268d8f3
255,India SWE Recruiting,2023-07-30,,,1.0,2.0,IN_PROGRESS,2,1,[0 1 2],fa51fd89709497b0
262,India SWE Recruiting,2023-04-16,5.0,,,,IN_PROGRESS,8,1,[0 1 2 3 4 5 6 7 8],8ff8ada31b667ed5
263,India SWE Recruiting,2023-05-07,2.0,5.0,11.0,11.0,IN_PROGRESS,11,1,[ 0  1  2  3  4  5  6  7  8  9 10 11],e35d30b96aac25f1
264,India SWE Recruiting,2023-02-19,8.0,16.0,,,IN_PROGRESS,6,1,[0 1 2 3 4 5 6],c5e1a6e85938ecf2
266,India SWE Recruiting,2022-11-06,,5.0,39.0,39.0,IN_PROGRESS,39,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39]",a0dd96e75f8b09f5
268,India SWE Recruiting,2023-01-01,,4.0,27.0,27.0,IN_PROGRESS,27,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27]",93a397c8ad08801c
269,India SWE Recruiting,2023-06-25,,,,,IN_PROGRESS,3,1,[0 1 2 3],00bea00b03db2de8
